vehicle_id,vehicle_type,component,component_age_days,operating_hours,failures_last_90d,fleet_same_component_failures_90d,system_failures_last_30d,maintenance_actions_last_90d,failure_next_30_days,true_risk,readiness_score,unit,last_service_days_ago
V-1017,MRAP,cooling,773.0,1340.0,1,6,1,4,0,0.1622,0.794,Unit-2,191
V-1018,JLTV,suspension,1542.0,4781.0,0,4,0,1,0,0.4076,0.7377,Unit-3,55
V-1019,LMTV,suspension,356.0,4549.0,0,7,0,4,0,0.0479,0.9454,Unit-4,203
V-1019,LMTV,engine,761.0,705.0,0,5,0,0,0,0.0818,0.9688,Unit-4,42
V-1019,LMTV,brakes,1296.0,2213.0,0,7,0,3,1,0.0958,0.8994,Unit-4,193
V-1020,HMMWV,transmission,1049.0,3176.0,0,2,0,0,1,0.2169,0.8427,Unit-5,85
V-1021,FMTV,engine,682.0,5092.0,0,6,1,4,0,0.131,0.8822,Unit-6,199
V-1022,MRAP,electrical,1198.0,809.0,1,2,0,4,0,0.026,0.98,Unit-7,189
V-1022,MRAP,suspension,444.0,1524.0,0,3,0,0,0,0.0825,0.9607,Unit-7,94
V-1023,JLTV,hydraulics,422.0,1689.0,3,5,2,4,1,0.59,0.4972,Unit-8,108
V-1023,JLTV,brakes,813.0,3617.0,2,4,0,3,0,0.2782,0.6628,Unit-8,141
V-1023,JLTV,transmission,980.0,3845.0,2,7,0,4,0,0.4081,0.6284,Unit-8,137
V-1024,LMTV,hydraulics,1538.0,5277.0,2,3,1,2,0,0.8806,0.1211,Unit-1,173
V-1024,LMTV,cooling,1171.0,3278.0,0,4,1,0,0,0.5668,0.3186,Unit-1,41
V-1025,HMMWV,brakes,857.0,2747.0,1,1,2,4,1,0.1663,0.8521,Unit-2,30
V-1025,HMMWV,suspension,1182.0,2348.0,2,1,1,3,0,0.4204,0.5931,Unit-2,76
V-1025,HMMWV,cooling,1284.0,2053.0,0,2,0,4,0,0.0379,0.9558,Unit-2,36
V-1026,FMTV,cooling,331.0,3077.0,3,2,1,3,0,0.4377,0.6051,Unit-3,108
V-1027,MRAP,engine,1412.0,3532.0,0,3,1,0,1,0.592,0.3279,Unit-4,152
V-1027,MRAP,brakes,724.0,1680.0,0,2,0,0,0,0.0897,0.8397,Unit-4,69
V-1027,MRAP,suspension,662.0,5483.0,3,5,0,3,0,0.7204,0.2465,Unit-4,184
V-1028,JLTV,suspension,1019.0,570.0,3,6,0,1,0,0.6202,0.4208,Unit-5,56
V-1029,LMTV,hydraulics,504.0,3636.0,0,0,0,0,0,0.0649,0.861,Unit-6,16
V-1030,HMMWV,cooling,437.0,390.0,2,7,2,0,0,0.7684,0.2281,Unit-7,171
V-1031,FMTV,engine,1133.0,2814.0,1,4,1,0,0,0.6516,0.304,Unit-8,187
V-1032,MRAP,transmission,213.0,3927.0,3,5,1,2,1,0.6575,0.3359,Unit-1,16
V-1033,JLTV,brakes,631.0,577.0,0,3,2,2,0,0.1123,0.9041,Unit-2,103
V-1033,JLTV,suspension,747.0,866.0,3,4,0,2,0,0.4135,0.6423,Unit-2,129
V-1034,LMTV,transmission,770.0,2835.0,0,7,0,0,0,0.2447,0.8091,Unit-3,30
V-1035,HMMWV,brakes,677.0,3519.0,0,1,0,4,0,0.0131,0.964,Unit-4,51
V-1035,HMMWV,cooling,519.0,2347.0,0,1,0,0,0,0.0729,0.9129,Unit-4,128
V-1036,FMTV,suspension,439.0,4347.0,1,1,0,2,0,0.188,0.8837,Unit-5,139
V-1036,FMTV,electrical,919.0,4884.0,3,6,0,3,1,0.7204,0.2371,Unit-5,116
V-1037,MRAP,engine,146.0,470.0,2,6,0,0,1,0.2347,0.8121,Unit-6,65
V-1037,MRAP,brakes,162.0,4105.0,0,3,1,3,0,0.0743,0.8897,Unit-6,189
V-1038,JLTV,engine,177.0,5475.0,2,3,0,3,0,0.1844,0.8206,Unit-7,152
V-1038,JLTV,brakes,573.0,138.0,0,6,0,2,0,0.0218,0.98,Unit-7,40
V-1038,JLTV,electrical,1535.0,3093.0,2,6,2,3,1,0.9122,0.1606,Unit-7,35
V-1039,LMTV,hydraulics,1475.0,896.0,0,1,2,4,0,0.0853,0.8877,Unit-8,14
V-1039,LMTV,electrical,1593.0,3258.0,0,0,0,1,0,0.1896,0.8014,Unit-8,57
V-1039,LMTV,engine,686.0,3712.0,2,4,0,3,0,0.3047,0.7145,Unit-8,83
V-1040,HMMWV,electrical,878.0,4245.0,2,2,0,2,0,0.3975,0.5402,Unit-1,200
V-1041,FMTV,brakes,856.0,648.0,0,7,2,3,0,0.1371,0.8999,Unit-2,140
V-1041,FMTV,cooling,459.0,214.0,3,5,0,2,1,0.1985,0.8146,Unit-2,71
V-1042,MRAP,suspension,869.0,3515.0,3,6,1,4,0,0.6855,0.194,Unit-3,107
V-1043,JLTV,hydraulics,1019.0,4318.0,2,0,0,2,0,0.3636,0.6481,Unit-4,162
V-1044,LMTV,cooling,297.0,1642.0,1,7,1,3,1,0.0864,0.8924,Unit-5,79
V-1044,LMTV,engine,1543.0,2734.0,3,6,0,1,1,0.9073,0.1564,Unit-5,215
V-1045,HMMWV,electrical,892.0,4427.0,3,3,1,1,1,0.8745,0.0737,Unit-6,12
V-1046,FMTV,electrical,72.0,4770.0,1,3,1,1,0,0.3022,0.6758,Unit-7,15
V-1046,FMTV,hydraulics,743.0,104.0,1,2,1,2,0,0.0886,0.9795,Unit-7,11
V-1046,FMTV,suspension,452.0,1368.0,2,4,0,3,0,0.0882,0.8963,Unit-7,188
V-1047,MRAP,transmission,906.0,4885.0,0,5,0,3,0,0.0983,0.98,Unit-8,78
V-1048,JLTV,cooling,882.0,821.0,1,1,2,4,0,0.0851,0.8954,Unit-1,155
V-1048,JLTV,transmission,398.0,2773.0,0,0,0,0,1,0.0656,0.8909,Unit-1,19
V-1049,LMTV,brakes,1426.0,5278.0,2,4,0,4,1,0.5631,0.3561,Unit-2,66
V-1049,LMTV,electrical,1431.0,5007.0,1,7,1,1,1,0.8883,0.05,Unit-2,132
V-1049,LMTV,cooling,521.0,1827.0,0,2,2,0,0,0.2924,0.6992,Unit-2,65
V-1050,HMMWV,hydraulics,1522.0,5471.0,1,2,1,3,1,0.6235,0.4161,Unit-3,199
V-1050,HMMWV,brakes,551.0,632.0,1,2,2,3,1,0.1192,0.7682,Unit-3,115
V-1051,FMTV,transmission,941.0,435.0,0,2,0,3,0,0.0156,0.98,Unit-4,72
V-1051,FMTV,hydraulics,1257.0,408.0,1,3,0,4,0,0.0441,0.9552,Unit-4,69
V-1051,FMTV,engine,506.0,687.0,2,1,0,0,0,0.1625,0.8717,Unit-4,114
V-1052,MRAP,suspension,875.0,1491.0,0,4,0,4,0,0.0154,0.98,Unit-5,108
V-1052,MRAP,electrical,440.0,5122.0,0,3,0,4,0,0.0352,0.9554,Unit-5,157
V-1053,JLTV,hydraulics,198.0,130.0,0,6,0,0,0,0.0246,0.98,Unit-6,28
V-1054,LMTV,suspension,1118.0,4683.0,0,2,1,2,0,0.337,0.6183,Unit-7,138
V-1055,HMMWV,transmission,442.0,5059.0,0,7,1,4,0,0.1589,0.8838,Unit-8,216
V-1056,FMTV,suspension,516.0,1252.0,0,5,0,4,0,0.0123,0.98,Unit-1,21
V-1056,FMTV,engine,1141.0,976.0,1,6,1,1,0,0.5234,0.5441,Unit-1,163
V-1057,MRAP,engine,1255.0,858.0,1,0,0,3,1,0.0446,0.9514,Unit-2,114
V-1058,JLTV,cooling,657.0,767.0,3,0,2,2,1,0.5364,0.4263,Unit-3,120
V-1058,JLTV,suspension,748.0,3302.0,0,2,1,4,0,0.0516,0.98,Unit-3,184
V-1059,LMTV,suspension,345.0,3080.0,0,6,1,2,0,0.1467,0.7911,Unit-4,161
V-1059,LMTV,transmission,290.0,2352.0,1,7,0,0,0,0.2585,0.7101,Unit-4,176
V-1059,LMTV,cooling,1249.0,4901.0,0,1,1,2,1,0.2944,0.7775,Unit-4,37
V-1060,HMMWV,cooling,587.0,2626.0,1,5,2,3,0,0.3379,0.5284,Unit-5,86
V-1060,HMMWV,hydraulics,882.0,4323.0,1,3,0,3,0,0.1573,0.8264,Unit-5,199
V-1060,HMMWV,suspension,64.0,1187.0,1,3,0,1,0,0.0473,0.948,Unit-5,215
V-1061,FMTV,suspension,596.0,3379.0,1,3,0,0,0,0.2877,0.7578,Unit-6,134
V-1061,FMTV,brakes,580.0,2124.0,0,6,0,1,0,0.0932,0.9401,Unit-6,40
V-1062,MRAP,transmission,959.0,4855.0,0,3,0,4,0,0.0612,0.9365,Unit-7,44
V-1062,MRAP,engine,257.0,324.0,0,0,2,1,0,0.0414,0.958,Unit-7,145
V-1062,MRAP,cooling,268.0,1677.0,2,2,2,3,0,0.3063,0.6351,Unit-7,198
V-1063,JLTV,brakes,1509.0,1730.0,1,3,0,4,0,0.0919,0.8877,Unit-8,186
V-1063,JLTV,engine,185.0,1452.0,0,0,1,1,0,0.0309,0.8923,Unit-8,130
V-1064,LMTV,cooling,126.0,1200.0,3,3,0,1,0,0.2199,0.7263,Unit-1,197
V-1064,LMTV,engine,1011.0,1052.0,0,0,0,0,0,0.0874,0.98,Unit-1,57
V-1064,LMTV,brakes,883.0,2957.0,0,2,0,1,0,0.0874,0.8841,Unit-1,39
V-1065,HMMWV,electrical,494.0,2739.0,1,3,0,4,0,0.0381,0.98,Unit-2,98
V-1066,FMTV,electrical,1344.0,5246.0,0,2,0,4,1,0.1107,0.9326,Unit-3,49
V-1067,MRAP,hydraulics,62.0,1822.0,1,0,0,4,0,0.0083,0.8451,Unit-4,91
V-1068,JLTV,cooling,1318.0,4099.0,0,6,0,4,1,0.1001,0.9684,Unit-5,202
V-1069,LMTV,cooling,1072.0,3455.0,2,5,1,4,1,0.5091,0.4855,Unit-6,50
V-1070,HMMWV,electrical,1412.0,416.0,0,6,0,2,0,0.0897,0.9411,Unit-7,37
V-1070,HMMWV,hydraulics,1057.0,1809.0,1,5,0,1,0,0.222,0.8012,Unit-7,146
V-1070,HMMWV,engine,869.0,1937.0,0,0,1,4,0,0.0315,0.98,Unit-7,186
V-1071,FMTV,electrical,1216.0,3657.0,0,2,2,3,0,0.3941,0.6236,Unit-8,83
V-1071,FMTV,hydraulics,290.0,3981.0,1,5,2,1,1,0.6072,0.3721,Unit-8,95
V-1071,FMTV,transmission,775.0,2465.0,0,6,0,1,0,0.1185,0.9004,Unit-8,148
V-1072,MRAP,hydraulics,1507.0,4744.0,0,7,1,0,1,0.821,0.21,Unit-1,32
V-1072,MRAP,suspension,492.0,3737.0,3,5,0,4,0,0.2556,0.6354,Unit-1,121
V-1072,MRAP,transmission,1208.0,1462.0,1,0,0,3,0,0.0696,0.9546,Unit-1,214
V-1073,JLTV,brakes,1542.0,3387.0,0,1,2,4,0,0.2399,0.795,Unit-2,188
V-1073,JLTV,suspension,741.0,3506.0,0,6,0,2,0,0.1237,0.8981,Unit-2,201
V-1074,LMTV,cooling,1594.0,4224.0,2,0,0,3,0,0.5732,0.4473,Unit-3,103
V-1075,HMMWV,transmission,771.0,3255.0,0,2,0,3,0,0.0476,0.9493,Unit-4,180
V-1076,FMTV,brakes,759.0,4402.0,2,1,0,3,0,0.2221,0.6983,Unit-5,171
V-1077,MRAP,transmission,1516.0,914.0,0,3,1,4,1,0.0951,0.8974,Unit-6,205
V-1078,JLTV,transmission,793.0,4875.0,1,3,0,3,0,0.2125,0.7577,Unit-7,183
V-1078,JLTV,suspension,435.0,2794.0,1,6,1,0,1,0.5586,0.4662,Unit-7,218
V-1079,LMTV,hydraulics,553.0,1805.0,0,1,0,1,0,0.0401,0.98,Unit-8,16
V-1080,HMMWV,cooling,667.0,1822.0,1,5,1,0,1,0.4381,0.5658,Unit-1,110
V-1080,HMMWV,suspension,1470.0,600.0,0,2,0,1,1,0.1048,0.8577,Unit-1,19
V-1080,HMMWV,hydraulics,1370.0,4278.0,0,2,1,3,1,0.2528,0.6423,Unit-1,181
V-1081,FMTV,cooling,911.0,3001.0,2,0,0,2,1,0.3196,0.6822,Unit-2,89
V-1082,MRAP,electrical,889.0,4146.0,0,2,0,2,0,0.0914,0.9431,Unit-3,52
V-1083,JLTV,brakes,127.0,4541.0,0,5,2,4,0,0.1057,0.8998,Unit-4,34
V-1083,JLTV,transmission,342.0,4822.0,3,7,2,2,1,0.9109,0.0764,Unit-4,46
V-1083,JLTV,engine,447.0,4062.0,1,5,0,1,1,0.3488,0.633,Unit-4,183
V-1084,LMTV,hydraulics,504.0,2349.0,2,0,1,1,1,0.3764,0.6444,Unit-5,125
V-1084,LMTV,electrical,310.0,1785.0,1,5,1,4,0,0.0599,0.9243,Unit-5,19
V-1084,LMTV,brakes,1251.0,3582.0,0,6,2,0,0,0.8363,0.2012,Unit-5,106
V-1085,HMMWV,transmission,774.0,1139.0,1,0,0,4,0,0.0151,0.98,Unit-6,26
V-1085,HMMWV,electrical,179.0,810.0,2,1,0,1,0,0.0749,0.94,Unit-6,82
V-1086,FMTV,electrical,109.0,5118.0,0,6,0,0,1,0.1395,0.9267,Unit-7,29
V-1086,FMTV,brakes,1542.0,4168.0,2,5,0,0,1,0.8776,0.1588,Unit-7,219
V-1086,FMTV,transmission,781.0,5221.0,1,7,1,4,0,0.3556,0.6488,Unit-7,41
V-1087,MRAP,hydraulics,1068.0,1820.0,0,7,0,3,0,0.0573,0.9161,Unit-8,191
V-1087,MRAP,transmission,737.0,2418.0,1,3,2,4,0,0.2072,0.8411,Unit-8,205
V-1087,MRAP,suspension,1552.0,3158.0,0,2,1,1,1,0.4099,0.5882,Unit-8,124
V-1088,JLTV,brakes,830.0,3999.0,0,6,0,3,0,0.0958,0.8624,Unit-1,125
V-1088,JLTV,engine,1554.0,5107.0,1,0,1,4,1,0.4959,0.5227,Unit-1,16
V-1089,LMTV,engine,1500.0,3767.0,1,0,0,1,0,0.3302,0.7096,Unit-2,164
V-1089,LMTV,brakes,756.0,109.0,2,7,0,4,0,0.1244,0.8841,Unit-2,193
V-1089,LMTV,cooling,1094.0,950.0,2,1,0,1,0,0.323,0.6439,Unit-2,120
V-1090,HMMWV,engine,952.0,2109.0,0,3,1,2,0,0.1236,0.8266,Unit-3,108
V-1090,HMMWV,cooling,1461.0,2383.0,0,1,0,0,0,0.2642,0.756,Unit-3,30
V-1090,HMMWV,suspension,1147.0,1726.0,2,0,0,4,0,0.0783,0.8837,Unit-3,116
V-1091,FMTV,engine,1277.0,3433.0,0,4,0,4,0,0.0517,0.98,Unit-4,117
V-1091,FMTV,suspension,818.0,1945.0,0,4,2,0,0,0.4769,0.5466,Unit-4,92
V-1092,MRAP,electrical,1421.0,3517.0,0,1,0,1,0,0.1983,0.9172,Unit-5,12
V-1092,MRAP,hydraulics,1077.0,298.0,1,4,0,2,0,0.0957,0.8397,Unit-5,199
V-1093,JLTV,hydraulics,1502.0,924.0,1,0,2,4,0,0.2213,0.8245,Unit-6,127
V-1093,JLTV,transmission,325.0,5330.0,0,6,0,2,1,0.101,0.9613,Unit-6,66
V-1093,JLTV,engine,256.0,3916.0,2,1,2,3,1,0.3542,0.664,Unit-6,186
V-1094,LMTV,electrical,657.0,3025.0,3,1,2,2,1,0.6989,0.2929,Unit-7,156
V-1095,HMMWV,brakes,360.0,2201.0,0,5,0,2,0,0.0295,0.98,Unit-8,172
V-1096,FMTV,engine,545.0,933.0,0,2,2,4,0,0.0347,0.8948,Unit-1,52
V-1097,MRAP,transmission,927.0,346.0,0,7,0,0,0,0.1465,0.8861,Unit-2,46
V-1098,JLTV,cooling,841.0,4419.0,1,5,2,3,1,0.6732,0.4383,Unit-3,209
V-1098,JLTV,electrical,687.0,2453.0,3,6,0,1,1,0.677,0.3931,Unit-3,170
V-1099,LMTV,suspension,328.0,3726.0,0,6,0,3,0,0.0498,0.9037,Unit-4,160
V-1100,HMMWV,engine,108.0,2834.0,0,2,2,0,0,0.2768,0.7412,Unit-5,109
V-1100,HMMWV,hydraulics,1190.0,3293.0,0,5,1,3,0,0.3073,0.6773,Unit-5,15
V-1100,HMMWV,electrical,495.0,2657.0,0,6,1,3,0,0.0756,0.9187,Unit-5,144
V-1101,FMTV,cooling,1246.0,3500.0,0,3,1,3,0,0.1742,0.8488,Unit-6,149
V-1102,MRAP,suspension,130.0,4072.0,0,4,0,2,0,0.0459,0.9534,Unit-7,165
V-1102,MRAP,brakes,234.0,4130.0,3,5,0,2,1,0.458,0.6273,Unit-7,28
V-1103,JLTV,transmission,351.0,4864.0,2,1,1,4,0,0.2825,0.734,Unit-8,42
V-1103,JLTV,brakes,659.0,1561.0,0,3,0,3,0,0.0158,0.929,Unit-8,123
V-1104,LMTV,cooling,955.0,4134.0,2,1,0,2,1,0.3849,0.6316,Unit-1,181
V-1105,HMMWV,electrical,588.0,2204.0,0,7,1,0,1,0.3122,0.7152,Unit-2,72
V-1106,FMTV,cooling,890.0,4216.0,3,2,0,3,0,0.4513,0.4112,Unit-3,143
V-1106,FMTV,transmission,739.0,4902.0,3,4,1,1,1,0.9327,0.05,Unit-3,104
V-1106,FMTV,brakes,781.0,2759.0,0,3,0,3,0,0.0297,0.9224,Unit-3,123
V-1107,MRAP,cooling,165.0,4675.0,3,5,2,0,1,0.9571,0.05,Unit-4,196
V-1108,JLTV,hydraulics,1591.0,3098.0,0,1,0,1,0,0.206,0.7757,Unit-5,46
V-1108,JLTV,electrical,151.0,4600.0,1,5,0,3,0,0.1139,0.8665,Unit-5,42
V-1108,JLTV,cooling,1244.0,839.0,1,7,1,2,0,0.3646,0.6435,Unit-5,55
V-1109,LMTV,electrical,1578.0,2424.0,0,6,1,3,0,0.2899,0.647,Unit-6,170
V-1110,HMMWV,engine,1419.0,289.0,0,7,0,3,0,0.0559,0.863,Unit-7,179
V-1110,HMMWV,hydraulics,300.0,2093.0,0,1,0,2,0,0.0131,0.9782,Unit-7,93
V-1110,HMMWV,electrical,1197.0,3821.0,3,1,0,3,1,0.5967,0.3499,Unit-7,91
V-1111,FMTV,cooling,1553.0,610.0,0,1,0,0,0,0.1847,0.8251,Unit-8,44
V-1112,MRAP,hydraulics,889.0,4430.0,0,4,0,0,0,0.3189,0.7077,Unit-1,59
V-1113,JLTV,cooling,453.0,270.0,0,6,1,2,0,0.0625,0.98,Unit-2,173
V-1113,JLTV,transmission,442.0,4678.0,0,4,0,4,0,0.0269,0.98,Unit-2,191
V-1113,JLTV,brakes,987.0,775.0,2,1,2,0,0,0.7782,0.2116,Unit-2,161
V-1114,LMTV,cooling,1016.0,1640.0,0,7,0,1,0,0.1451,0.846,Unit-3,113
V-1114,LMTV,engine,1341.0,4344.0,3,6,0,3,1,0.8088,0.1129,Unit-3,163
V-1114,LMTV,electrical,578.0,4390.0,3,0,1,4,1,0.5794,0.4154,Unit-3,202
V-1115,HMMWV,brakes,402.0,588.0,0,4,2,0,0,0.1852,0.7349,Unit-4,66
V-1115,HMMWV,engine,799.0,4868.0,0,1,1,1,0,0.346,0.6177,Unit-4,77
V-1116,FMTV,engine,553.0,3134.0,0,3,0,2,1,0.045,0.9479,Unit-5,79
V-1116,FMTV,brakes,701.0,5202.0,0,2,1,2,0,0.1863,0.8226,Unit-5,60
V-1116,FMTV,transmission,518.0,1250.0,1,3,1,3,1,0.0573,0.8863,Unit-5,57
V-1117,MRAP,suspension,632.0,4112.0,1,0,0,0,1,0.2921,0.6997,Unit-6,101
V-1117,MRAP,engine,1349.0,4479.0,0,7,1,0,0,0.7374,0.2334,Unit-6,35
V-1118,JLTV,suspension,265.0,567.0,0,3,0,0,0,0.0399,0.9131,Unit-7,217
V-1118,JLTV,hydraulics,1191.0,3224.0,2,0,1,2,1,0.5842,0.3437,Unit-7,194
V-1118,JLTV,transmission,698.0,2504.0,0,1,0,0,0,0.0798,0.9008,Unit-7,41
V-1119,LMTV,suspension,1527.0,3798.0,2,7,0,4,1,0.5452,0.4161,Unit-8,169
V-1119,LMTV,transmission,1061.0,5011.0,0,7,0,1,0,0.4481,0.6653,Unit-8,67
V-1119,LMTV,cooling,298.0,3459.0,0,2,1,3,0,0.0421,0.9053,Unit-8,150
