vehicle_id,component,event_type,days_ago,notes,severity_hours
V-1005,engine,parts_replacement,179,Elevated engine temperature recorded (179d ago),889
V-1005,transmission,corrective_repair,179,Deferred transmission work pending parts (179d ago),2079
V-1006,hydraulics,oil_analysis,40,hydraulics inspection — wear within limits (40d ago),559
V-1006,brakes,parts_replacement,65,Scheduled brakes PM completed (65d ago),3705
V-1006,hydraulics,fault_code,70,Scheduled hydraulics PM completed (70d ago),439
V-1006,brakes,corrective_repair,136,brakes inspection — wear within limits (136d ago),3421
V-1006,brakes,parts_replacement,147,Elevated brakes temperature recorded (147d ago),3377
V-1006,hydraulics,oil_analysis,173,Elevated hydraulics temperature recorded (173d ago),27
V-1007,hydraulics,preventive_service,20,Deferred hydraulics work pending parts (20d ago),4642
V-1007,transmission,inspection,29,Elevated transmission temperature recorded (29d ago),421
V-1007,transmission,parts_replacement,40,Deferred transmission work pending parts (40d ago),377
V-1007,transmission,oil_analysis,56,transmission inspection — wear within limits (56d ago),313
V-1007,suspension,corrective_repair,59,Deferred suspension work pending parts (59d ago),3029
V-1007,hydraulics,oil_analysis,77,hydraulics fault cleared after service (77d ago),4414
V-1007,suspension,preventive_service,84,suspension inspection — wear within limits (84d ago),2929
V-1007,suspension,parts_replacement,90,Elevated suspension temperature recorded (90d ago),2905
V-1007,hydraulics,preventive_service,94,hydraulics fault cleared after service (94d ago),4346
V-1007,hydraulics,preventive_service,115,Deferred hydraulics work pending parts (115d ago),4262
V-1007,transmission,oil_analysis,116,transmission fault cleared after service (116d ago),73
V-1007,hydraulics,fault_code,120,Scheduled hydraulics PM completed (120d ago),4242
V-1007,transmission,inspection,151,transmission inspection — wear within limits (151d ago),0
V-1007,hydraulics,corrective_repair,160,Scheduled hydraulics PM completed (160d ago),4082
V-1007,suspension,preventive_service,169,Elevated suspension temperature recorded (169d ago),2589
V-1008,hydraulics,inspection,36,Deferred hydraulics work pending parts (36d ago),2550
V-1008,hydraulics,corrective_repair,60,hydraulics fault cleared after service (60d ago),2454
V-1008,hydraulics,oil_analysis,139,Scheduled hydraulics PM completed (139d ago),2138
V-1008,hydraulics,inspection,167,Deferred hydraulics work pending parts (167d ago),2026
V-1009,brakes,corrective_repair,38,Scheduled brakes PM completed (38d ago),2930
V-1009,cooling,oil_analysis,46,cooling inspection — wear within limits (46d ago),1693
V-1009,brakes,preventive_service,66,brakes inspection — wear within limits (66d ago),2818
V-1009,brakes,corrective_repair,83,Deferred brakes work pending parts (83d ago),2750
V-1009,cooling,parts_replacement,99,cooling inspection — wear within limits (99d ago),1481
V-1009,brakes,preventive_service,100,Elevated brakes temperature recorded (100d ago),2682
V-1009,cooling,corrective_repair,113,cooling inspection — wear within limits (113d ago),1425
V-1009,cooling,oil_analysis,144,Elevated cooling temperature recorded (144d ago),1301
V-1009,cooling,oil_analysis,145,cooling inspection — wear within limits (145d ago),1297
V-1009,cooling,parts_replacement,172,cooling inspection — wear within limits (172d ago),1189
V-1010,engine,corrective_repair,52,Scheduled engine PM completed (52d ago),4836
V-1010,engine,parts_replacement,58,engine fault cleared after service (58d ago),4812
V-1010,engine,preventive_service,86,engine fault cleared after service (86d ago),4700
V-1010,engine,parts_replacement,126,Scheduled engine PM completed (126d ago),4540
V-1010,engine,inspection,141,engine fault cleared after service (141d ago),4480
V-1011,hydraulics,fault_code,3,Deferred hydraulics work pending parts (3d ago),2859
V-1011,transmission,preventive_service,4,Deferred transmission work pending parts (4d ago),4896
V-1011,hydraulics,preventive_service,20,Elevated hydraulics temperature recorded (20d ago),2791
V-1011,transmission,inspection,33,Scheduled transmission PM completed (33d ago),4780
V-1011,cooling,oil_analysis,45,Scheduled cooling PM completed (45d ago),3486
V-1011,cooling,oil_analysis,62,Scheduled cooling PM completed (62d ago),3418
V-1011,hydraulics,preventive_service,98,Elevated hydraulics temperature recorded (98d ago),2479
V-1011,cooling,oil_analysis,101,cooling inspection — wear within limits (101d ago),3262
V-1011,cooling,fault_code,110,cooling fault cleared after service (110d ago),3226
V-1011,hydraulics,fault_code,114,Elevated hydraulics temperature recorded (114d ago),2415
V-1011,hydraulics,parts_replacement,131,Deferred hydraulics work pending parts (131d ago),2347
V-1011,transmission,inspection,134,Scheduled transmission PM completed (134d ago),4376
V-1011,cooling,inspection,137,Scheduled cooling PM completed (137d ago),3118
V-1011,cooling,preventive_service,158,cooling fault cleared after service (158d ago),3034
V-1011,hydraulics,fault_code,164,hydraulics inspection — wear within limits (164d ago),2215
V-1012,engine,inspection,38,Deferred engine work pending parts (38d ago),4432
V-1012,engine,oil_analysis,76,Deferred engine work pending parts (76d ago),4280
V-1012,engine,oil_analysis,146,engine fault cleared after service (146d ago),4000
V-1012,engine,corrective_repair,156,Elevated engine temperature recorded (156d ago),3960
V-1012,engine,oil_analysis,161,engine fault cleared after service (161d ago),3940
V-1012,engine,fault_code,177,engine inspection — wear within limits (177d ago),3876
V-1013,hydraulics,inspection,129,Scheduled hydraulics PM completed (129d ago),2278
V-1013,hydraulics,oil_analysis,132,Scheduled hydraulics PM completed (132d ago),2266
V-1014,electrical,oil_analysis,27,Elevated electrical temperature recorded (27d ago),3734
V-1014,electrical,inspection,68,electrical fault cleared after service (68d ago),3570
V-1014,electrical,oil_analysis,128,Deferred electrical work pending parts (128d ago),3330
V-1014,electrical,preventive_service,147,electrical fault cleared after service (147d ago),3254
V-1014,electrical,fault_code,165,Deferred electrical work pending parts (165d ago),3182
V-1015,electrical,fault_code,45,electrical fault cleared after service (45d ago),34
V-1015,engine,oil_analysis,71,Scheduled engine PM completed (71d ago),1950
V-1015,electrical,inspection,123,electrical fault cleared after service (123d ago),0
V-1015,engine,parts_replacement,144,Deferred engine work pending parts (144d ago),1658
V-1015,engine,oil_analysis,166,engine inspection — wear within limits (166d ago),1570
V-1015,electrical,oil_analysis,169,Elevated electrical temperature recorded (169d ago),0
V-1016,suspension,corrective_repair,3,Elevated suspension temperature recorded (3d ago),5124
V-1016,suspension,inspection,67,Scheduled suspension PM completed (67d ago),4868
V-1016,suspension,oil_analysis,84,suspension inspection — wear within limits (84d ago),4800
V-1016,suspension,preventive_service,110,suspension inspection — wear within limits (110d ago),4696
V-1016,suspension,inspection,146,Scheduled suspension PM completed (146d ago),4552
V-1017,cooling,corrective_repair,38,Deferred cooling work pending parts (38d ago),1188
V-1017,cooling,oil_analysis,40,cooling fault cleared after service (40d ago),1180
V-1017,cooling,oil_analysis,71,Elevated cooling temperature recorded (71d ago),1056
V-1017,cooling,oil_analysis,91,cooling inspection — wear within limits (91d ago),976
V-1018,suspension,parts_replacement,49,suspension inspection — wear within limits (49d ago),4585
V-1018,suspension,inspection,112,suspension fault cleared after service (112d ago),4333
V-1019,brakes,inspection,23,brakes fault cleared after service (23d ago),2121
V-1019,brakes,preventive_service,30,Scheduled brakes PM completed (30d ago),2093
V-1019,suspension,inspection,44,suspension inspection — wear within limits (44d ago),4373
V-1019,engine,oil_analysis,47,engine fault cleared after service (47d ago),517
V-1019,brakes,parts_replacement,52,brakes fault cleared after service (52d ago),2005
V-1019,brakes,corrective_repair,72,Scheduled brakes PM completed (72d ago),1925
V-1019,brakes,corrective_repair,98,Elevated brakes temperature recorded (98d ago),1821
V-1019,engine,fault_code,102,Deferred engine work pending parts (102d ago),297
V-1019,engine,inspection,109,Deferred engine work pending parts (109d ago),269
V-1019,suspension,inspection,127,suspension inspection — wear within limits (127d ago),4041
V-1019,brakes,parts_replacement,169,Elevated brakes temperature recorded (169d ago),1537
V-1019,engine,parts_replacement,178,engine inspection — wear within limits (178d ago),0
V-1020,transmission,inspection,105,transmission inspection — wear within limits (105d ago),2756
V-1020,transmission,inspection,151,Deferred transmission work pending parts (151d ago),2572
V-1020,transmission,inspection,173,Elevated transmission temperature recorded (173d ago),2484
V-1021,engine,fault_code,15,Deferred engine work pending parts (15d ago),5032
V-1021,engine,inspection,51,engine inspection — wear within limits (51d ago),4888
V-1021,engine,oil_analysis,72,engine fault cleared after service (72d ago),4804
V-1021,engine,parts_replacement,125,Elevated engine temperature recorded (125d ago),4592
V-1021,engine,parts_replacement,151,Scheduled engine PM completed (151d ago),4488
V-1021,engine,inspection,163,Elevated engine temperature recorded (163d ago),4440
V-1022,suspension,preventive_service,23,Elevated suspension temperature recorded (23d ago),1432
V-1022,electrical,fault_code,29,electrical fault cleared after service (29d ago),693
V-1022,electrical,fault_code,35,electrical inspection — wear within limits (35d ago),669
V-1022,electrical,inspection,42,Deferred electrical work pending parts (42d ago),641
V-1022,electrical,oil_analysis,64,electrical inspection — wear within limits (64d ago),553
V-1022,electrical,fault_code,65,electrical inspection — wear within limits (65d ago),549
V-1022,suspension,fault_code,68,suspension fault cleared after service (68d ago),1252
V-1022,suspension,oil_analysis,81,suspension fault cleared after service (81d ago),1200
V-1022,suspension,fault_code,82,Elevated suspension temperature recorded (82d ago),1196
V-1022,suspension,parts_replacement,152,Elevated suspension temperature recorded (152d ago),916
V-1023,hydraulics,fault_code,37,hydraulics inspection — wear within limits (37d ago),1541
V-1023,brakes,fault_code,61,brakes inspection — wear within limits (61d ago),3373
V-1023,transmission,fault_code,66,Deferred transmission work pending parts (66d ago),3581
V-1023,transmission,fault_code,99,Elevated transmission temperature recorded (99d ago),3449
V-1023,transmission,parts_replacement,115,Elevated transmission temperature recorded (115d ago),3385
V-1023,brakes,fault_code,130,brakes fault cleared after service (130d ago),3097
V-1023,hydraulics,parts_replacement,135,hydraulics inspection — wear within limits (135d ago),1149
V-1023,brakes,oil_analysis,135,Elevated brakes temperature recorded (135d ago),3077
V-1023,hydraulics,fault_code,155,hydraulics fault cleared after service (155d ago),1069
V-1023,brakes,inspection,160,brakes fault cleared after service (160d ago),2977
V-1023,brakes,parts_replacement,165,Deferred brakes work pending parts (165d ago),2957
V-1023,brakes,fault_code,172,Elevated brakes temperature recorded (172d ago),2929
V-1023,hydraulics,fault_code,178,Elevated hydraulics temperature recorded (178d ago),977
V-1024,hydraulics,corrective_repair,20,hydraulics fault cleared after service (20d ago),5197
V-1024,cooling,fault_code,72,cooling fault cleared after service (72d ago),2990
V-1024,hydraulics,oil_analysis,118,Deferred hydraulics work pending parts (118d ago),4805
V-1024,cooling,fault_code,126,cooling fault cleared after service (126d ago),2774
V-1024,hydraulics,corrective_repair,137,Scheduled hydraulics PM completed (137d ago),4729
V-1024,hydraulics,corrective_repair,148,Deferred hydraulics work pending parts (148d ago),4685
V-1024,cooling,oil_analysis,151,cooling inspection — wear within limits (151d ago),2674
V-1024,cooling,corrective_repair,164,Deferred cooling work pending parts (164d ago),2622
V-1025,cooling,corrective_repair,4,cooling inspection — wear within limits (4d ago),2037
V-1025,suspension,corrective_repair,30,Scheduled suspension PM completed (30d ago),2228
V-1025,brakes,oil_analysis,76,brakes inspection — wear within limits (76d ago),2443
V-1025,suspension,corrective_repair,95,suspension fault cleared after service (95d ago),1968
V-1025,suspension,fault_code,103,suspension inspection — wear within limits (103d ago),1936
V-1025,brakes,corrective_repair,109,Deferred brakes work pending parts (109d ago),2311
V-1025,cooling,preventive_service,114,cooling inspection — wear within limits (114d ago),1597
V-1025,suspension,inspection,137,Deferred suspension work pending parts (137d ago),1800
V-1025,suspension,corrective_repair,145,Deferred suspension work pending parts (145d ago),1768
V-1025,brakes,corrective_repair,157,Scheduled brakes PM completed (157d ago),2119
V-1026,cooling,inspection,16,Deferred cooling work pending parts (16d ago),3013
V-1026,cooling,parts_replacement,22,Scheduled cooling PM completed (22d ago),2989
V-1026,cooling,oil_analysis,62,Scheduled cooling PM completed (62d ago),2829
V-1026,cooling,preventive_service,125,Deferred cooling work pending parts (125d ago),2577
V-1026,cooling,parts_replacement,152,Elevated cooling temperature recorded (152d ago),2469
V-1026,cooling,fault_code,166,Elevated cooling temperature recorded (166d ago),2413
V-1027,suspension,preventive_service,4,Elevated suspension temperature recorded (4d ago),5467
V-1027,brakes,parts_replacement,14,brakes inspection — wear within limits (14d ago),1624
V-1027,brakes,parts_replacement,14,brakes fault cleared after service (14d ago),1624
V-1027,suspension,inspection,15,suspension inspection — wear within limits (15d ago),5423
V-1027,suspension,parts_replacement,16,suspension fault cleared after service (16d ago),5419
V-1027,engine,parts_replacement,101,Elevated engine temperature recorded (101d ago),3128
V-1027,brakes,preventive_service,101,Elevated brakes temperature recorded (101d ago),1276
V-1027,brakes,inspection,125,Scheduled brakes PM completed (125d ago),1180
V-1027,suspension,preventive_service,133,Deferred suspension work pending parts (133d ago),4951
V-1027,engine,corrective_repair,148,Deferred engine work pending parts (148d ago),2940
V-1027,brakes,inspection,157,brakes inspection — wear within limits (157d ago),1052
V-1027,engine,parts_replacement,158,Scheduled engine PM completed (158d ago),2900
V-1028,suspension,oil_analysis,11,suspension fault cleared after service (11d ago),526
V-1028,suspension,corrective_repair,148,suspension fault cleared after service (148d ago),0
V-1029,hydraulics,corrective_repair,26,Scheduled hydraulics PM completed (26d ago),3532
V-1029,hydraulics,corrective_repair,125,hydraulics inspection — wear within limits (125d ago),3136
V-1029,hydraulics,fault_code,161,hydraulics fault cleared after service (161d ago),2992
V-1030,cooling,inspection,12,cooling fault cleared after service (12d ago),342
V-1030,cooling,oil_analysis,62,cooling inspection — wear within limits (62d ago),142
V-1030,cooling,oil_analysis,89,cooling fault cleared after service (89d ago),34
V-1031,engine,fault_code,136,Deferred engine work pending parts (136d ago),2270
V-1031,engine,fault_code,141,engine inspection — wear within limits (141d ago),2250
V-1032,transmission,parts_replacement,13,transmission inspection — wear within limits (13d ago),3875
V-1032,transmission,corrective_repair,19,transmission fault cleared after service (19d ago),3851
V-1032,transmission,oil_analysis,31,Scheduled transmission PM completed (31d ago),3803
V-1032,transmission,preventive_service,48,Deferred transmission work pending parts (48d ago),3735
V-1032,transmission,parts_replacement,128,Deferred transmission work pending parts (128d ago),3415
V-1032,transmission,fault_code,134,Scheduled transmission PM completed (134d ago),3391
V-1033,brakes,inspection,33,brakes fault cleared after service (33d ago),445
V-1033,suspension,preventive_service,56,Scheduled suspension PM completed (56d ago),642
V-1033,brakes,oil_analysis,67,brakes fault cleared after service (67d ago),309
V-1033,brakes,parts_replacement,70,Scheduled brakes PM completed (70d ago),297
V-1033,suspension,preventive_service,107,Deferred suspension work pending parts (107d ago),438
V-1033,suspension,preventive_service,110,Scheduled suspension PM completed (110d ago),426
V-1033,suspension,parts_replacement,146,suspension inspection — wear within limits (146d ago),282
V-1034,transmission,preventive_service,63,transmission inspection — wear within limits (63d ago),2583
V-1034,transmission,oil_analysis,158,transmission inspection — wear within limits (158d ago),2203
V-1034,transmission,parts_replacement,175,transmission inspection — wear within limits (175d ago),2135
V-1034,transmission,fault_code,178,Elevated transmission temperature recorded (178d ago),2123
V-1035,brakes,corrective_repair,16,brakes fault cleared after service (16d ago),3455
V-1035,brakes,parts_replacement,108,Scheduled brakes PM completed (108d ago),3087
V-1035,cooling,corrective_repair,122,Scheduled cooling PM completed (122d ago),1859
V-1035,brakes,corrective_repair,131,Deferred brakes work pending parts (131d ago),2995
V-1035,cooling,fault_code,179,Elevated cooling temperature recorded (179d ago),1631
V-1036,electrical,oil_analysis,12,Scheduled electrical PM completed (12d ago),4836
V-1036,electrical,oil_analysis,46,Elevated electrical temperature recorded (46d ago),4700
V-1036,suspension,inspection,51,suspension fault cleared after service (51d ago),4143
V-1036,electrical,preventive_service,61,Deferred electrical work pending parts (61d ago),4640
V-1036,electrical,inspection,124,electrical fault cleared after service (124d ago),4388
V-1036,suspension,inspection,138,Scheduled suspension PM completed (138d ago),3795
V-1036,suspension,parts_replacement,144,Deferred suspension work pending parts (144d ago),3771
V-1036,suspension,fault_code,145,suspension inspection — wear within limits (145d ago),3767
V-1036,suspension,preventive_service,163,Scheduled suspension PM completed (163d ago),3695
V-1037,brakes,oil_analysis,1,Elevated brakes temperature recorded (1d ago),4101
V-1037,brakes,fault_code,5,Deferred brakes work pending parts (5d ago),4085
V-1037,engine,inspection,114,Elevated engine temperature recorded (114d ago),14
V-1037,engine,fault_code,118,Deferred engine work pending parts (118d ago),0
V-1037,brakes,parts_replacement,150,Deferred brakes work pending parts (150d ago),3505
V-1037,brakes,parts_replacement,159,brakes fault cleared after service (159d ago),3469
V-1037,engine,inspection,160,Deferred engine work pending parts (160d ago),0
V-1037,engine,fault_code,163,Scheduled engine PM completed (163d ago),0
V-1037,engine,parts_replacement,165,Elevated engine temperature recorded (165d ago),0
V-1037,brakes,parts_replacement,174,Elevated brakes temperature recorded (174d ago),3409
V-1037,brakes,parts_replacement,176,Scheduled brakes PM completed (176d ago),3401
V-1038,electrical,parts_replacement,5,electrical fault cleared after service (5d ago),3073
V-1038,engine,inspection,18,Deferred engine work pending parts (18d ago),5403
V-1038,electrical,parts_replacement,37,Deferred electrical work pending parts (37d ago),2945
V-1038,electrical,inspection,72,Deferred electrical work pending parts (72d ago),2805
V-1038,electrical,parts_replacement,73,electrical fault cleared after service (73d ago),2801
V-1038,brakes,inspection,92,Scheduled brakes PM completed (92d ago),0
V-1038,engine,preventive_service,127,engine inspection — wear within limits (127d ago),4967
V-1038,electrical,oil_analysis,128,Scheduled electrical PM completed (128d ago),2581
V-1038,brakes,preventive_service,131,brakes fault cleared after service (131d ago),0
V-1038,brakes,corrective_repair,140,brakes fault cleared after service (140d ago),0
V-1038,electrical,inspection,164,Scheduled electrical PM completed (164d ago),2437
V-1039,engine,fault_code,5,engine fault cleared after service (5d ago),3692
V-1039,hydraulics,fault_code,6,hydraulics inspection — wear within limits (6d ago),872
V-1039,engine,inspection,7,Scheduled engine PM completed (7d ago),3684
V-1039,electrical,parts_replacement,11,electrical inspection — wear within limits (11d ago),3214
V-1039,electrical,inspection,12,Elevated electrical temperature recorded (12d ago),3210
V-1039,hydraulics,fault_code,49,Scheduled hydraulics PM completed (49d ago),700
V-1039,hydraulics,fault_code,49,Deferred hydraulics work pending parts (49d ago),700
V-1039,electrical,oil_analysis,65,Elevated electrical temperature recorded (65d ago),2998
V-1039,hydraulics,parts_replacement,101,Elevated hydraulics temperature recorded (101d ago),492
V-1039,engine,oil_analysis,118,engine fault cleared after service (118d ago),3240
V-1039,electrical,preventive_service,122,Elevated electrical temperature recorded (122d ago),2770
V-1039,hydraulics,preventive_service,141,hydraulics fault cleared after service (141d ago),332
V-1039,engine,parts_replacement,146,engine inspection — wear within limits (146d ago),3128
V-1039,hydraulics,inspection,175,hydraulics fault cleared after service (175d ago),196
V-1040,electrical,parts_replacement,27,Deferred electrical work pending parts (27d ago),4137
V-1040,electrical,preventive_service,87,electrical fault cleared after service (87d ago),3897
V-1040,electrical,oil_analysis,118,Scheduled electrical PM completed (118d ago),3773
V-1040,electrical,inspection,174,Deferred electrical work pending parts (174d ago),3549
V-1041,brakes,corrective_repair,42,brakes inspection — wear within limits (42d ago),480
V-1041,brakes,preventive_service,50,brakes fault cleared after service (50d ago),448
V-1041,brakes,preventive_service,77,brakes fault cleared after service (77d ago),340
V-1041,brakes,inspection,79,Scheduled brakes PM completed (79d ago),332
V-1041,cooling,fault_code,86,cooling fault cleared after service (86d ago),0
V-1041,brakes,preventive_service,110,Scheduled brakes PM completed (110d ago),208
V-1041,cooling,oil_analysis,114,Elevated cooling temperature recorded (114d ago),0
V-1041,cooling,parts_replacement,134,Scheduled cooling PM completed (134d ago),0
V-1041,cooling,inspection,141,Elevated cooling temperature recorded (141d ago),0
V-1041,brakes,inspection,152,Deferred brakes work pending parts (152d ago),40
V-1041,cooling,parts_replacement,177,Elevated cooling temperature recorded (177d ago),0
V-1042,suspension,preventive_service,6,Deferred suspension work pending parts (6d ago),3491
V-1042,suspension,inspection,65,Scheduled suspension PM completed (65d ago),3255
V-1042,suspension,preventive_service,132,Scheduled suspension PM completed (132d ago),2987
V-1042,suspension,preventive_service,134,suspension inspection — wear within limits (134d ago),2979
V-1042,suspension,corrective_repair,163,suspension inspection — wear within limits (163d ago),2863
V-1043,hydraulics,corrective_repair,25,Elevated hydraulics temperature recorded (25d ago),4218
V-1043,hydraulics,inspection,35,Elevated hydraulics temperature recorded (35d ago),4178
V-1043,hydraulics,preventive_service,76,Deferred hydraulics work pending parts (76d ago),4014
V-1044,cooling,preventive_service,7,Scheduled cooling PM completed (7d ago),1614
V-1044,cooling,inspection,19,cooling fault cleared after service (19d ago),1566
V-1044,engine,parts_replacement,22,engine inspection — wear within limits (22d ago),2646
V-1044,cooling,corrective_repair,95,Elevated cooling temperature recorded (95d ago),1262
V-1044,engine,inspection,126,Deferred engine work pending parts (126d ago),2230
V-1044,cooling,parts_replacement,147,cooling inspection — wear within limits (147d ago),1054
V-1044,engine,parts_replacement,154,Scheduled engine PM completed (154d ago),2118
V-1044,engine,oil_analysis,166,Scheduled engine PM completed (166d ago),2070
V-1044,engine,oil_analysis,173,Elevated engine temperature recorded (173d ago),2042
V-1045,electrical,oil_analysis,55,electrical inspection — wear within limits (55d ago),4207
V-1045,electrical,parts_replacement,101,electrical fault cleared after service (101d ago),4023
V-1045,electrical,preventive_service,108,electrical inspection — wear within limits (108d ago),3995
V-1045,electrical,inspection,116,Elevated electrical temperature recorded (116d ago),3963
V-1045,electrical,corrective_repair,156,electrical inspection — wear within limits (156d ago),3803
V-1046,suspension,corrective_repair,36,Scheduled suspension PM completed (36d ago),1224
V-1046,suspension,inspection,41,Deferred suspension work pending parts (41d ago),1204
V-1046,suspension,preventive_service,61,Elevated suspension temperature recorded (61d ago),1124
V-1046,suspension,parts_replacement,64,suspension inspection — wear within limits (64d ago),1112
V-1046,electrical,fault_code,92,electrical fault cleared after service (92d ago),4402
V-1046,hydraulics,parts_replacement,96,Deferred hydraulics work pending parts (96d ago),0
V-1046,electrical,parts_replacement,121,Scheduled electrical PM completed (121d ago),4286
V-1046,electrical,parts_replacement,146,electrical fault cleared after service (146d ago),4186
V-1046,electrical,parts_replacement,146,electrical inspection — wear within limits (146d ago),4186
V-1046,hydraulics,preventive_service,151,Elevated hydraulics temperature recorded (151d ago),0
V-1046,hydraulics,corrective_repair,153,Deferred hydraulics work pending parts (153d ago),0
V-1046,suspension,inspection,171,Deferred suspension work pending parts (171d ago),684
V-1047,transmission,corrective_repair,10,transmission fault cleared after service (10d ago),4845
V-1047,transmission,corrective_repair,83,Scheduled transmission PM completed (83d ago),4553
V-1047,transmission,corrective_repair,128,transmission fault cleared after service (128d ago),4373
V-1047,transmission,parts_replacement,153,transmission fault cleared after service (153d ago),4273
V-1047,transmission,preventive_service,166,Deferred transmission work pending parts (166d ago),4221
V-1047,transmission,oil_analysis,179,transmission fault cleared after service (179d ago),4169
V-1048,transmission,inspection,14,transmission inspection — wear within limits (14d ago),2717
V-1048,transmission,inspection,26,Scheduled transmission PM completed (26d ago),2669
V-1048,transmission,fault_code,34,Elevated transmission temperature recorded (34d ago),2637
V-1048,cooling,fault_code,36,cooling inspection — wear within limits (36d ago),677
V-1048,transmission,corrective_repair,47,Elevated transmission temperature recorded (47d ago),2585
V-1048,transmission,oil_analysis,71,transmission fault cleared after service (71d ago),2489
V-1048,transmission,corrective_repair,76,transmission inspection — wear within limits (76d ago),2469
V-1048,cooling,corrective_repair,88,Scheduled cooling PM completed (88d ago),469
V-1048,cooling,parts_replacement,115,Scheduled cooling PM completed (115d ago),361
V-1048,cooling,inspection,116,Deferred cooling work pending parts (116d ago),357
V-1048,cooling,parts_replacement,172,Scheduled cooling PM completed (172d ago),133
V-1049,electrical,inspection,14,Deferred electrical work pending parts (14d ago),4951
V-1049,electrical,inspection,23,Scheduled electrical PM completed (23d ago),4915
V-1049,brakes,corrective_repair,34,Elevated brakes temperature recorded (34d ago),5142
V-1049,cooling,inspection,45,cooling inspection — wear within limits (45d ago),1647
V-1049,electrical,corrective_repair,50,Scheduled electrical PM completed (50d ago),4807
V-1049,cooling,inspection,58,Elevated cooling temperature recorded (58d ago),1595
V-1049,cooling,corrective_repair,79,cooling fault cleared after service (79d ago),1511
V-1049,electrical,fault_code,80,electrical fault cleared after service (80d ago),4687
V-1049,brakes,oil_analysis,97,Scheduled brakes PM completed (97d ago),4890
V-1049,brakes,corrective_repair,124,brakes inspection — wear within limits (124d ago),4782
V-1049,cooling,oil_analysis,143,Elevated cooling temperature recorded (143d ago),1255
V-1049,cooling,preventive_service,166,cooling fault cleared after service (166d ago),1163
V-1049,electrical,preventive_service,170,Scheduled electrical PM completed (170d ago),4327
V-1050,brakes,preventive_service,4,brakes fault cleared after service (4d ago),616
V-1050,brakes,fault_code,30,Deferred brakes work pending parts (30d ago),512
